rank,是否ICC,简称 Employer (Petitioner) Name,全名 Employer (Petitioner) Name,Beneficiaries Approved,排名变化
1,,AWS,AMAZON WEB SERVICES INC,15003,
2,Y,TCS,TATA CONSULTANCY SERVICES LIMITED,10497,
3,Y,Infosys,INFOSYS LIMITED,8857,
4,Y,Cognizant,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,8794,
5,,Microsoft,MICROSOFT CORPORATION,6439,
6,,Google,GOOGLE LLC,6421,
7,,Meta,META PLATFORMS INC,5060,
8,,Apple,APPLE INC,4717,
9,,Deloitte,DELOITTE CONSULTING LLP,4266,
10,Y,Wipro,WIPRO LIMITED,2928,
11,Y,HCL,HCL AMERICA INC,2910,
12,Y,Capgemini,CAPGEMINI AMERICA INC,2859,
13,,IBM,IBM CORPORATION,2666,
14,,Accenture,ACCENTURE LLP,2557,
15,,JPMorgan Chase,JPMORGAN CHASE AND CO,2432,
16,,EY,ERNST AND YOUNG U S LLP,2298,
17,,Intel,INTEL CORPORATION,2100,
18,,Walmart,WAL-MART ASSOCIATES INC,1931,
19,,Cisco,CISCO SYSTEMS INC,1819,
20,Y,Tech Mahindra,TECH MAHINDRA AMERICAS INC,1716,
21,,Salesforce,SALESFORCE INC,1634,
22,,Oracle,ORACLE AMERICA INC,1552,
23,,Compunnel,COMPUNEL INC,1338,
24,,Qualcomm,QUALCOMM TECHNOLOGIES INC,1253,
25,Y,Syntel,SYNTEL INC,1178,
26,Y,L&T Infotech,LARSEN AND TOUBRO INFOTECH LIMITED,1154,
27,,NVIDIA,NVIDIA CORPORATION,1011,
28,,Fidelity,FIDELITY TECHNOLOGY GROUP LLC D B A FIDELITY INVESTMENTS,1006,
29,,LinkedIn,LINKEDIN CORPORATION,982,
30,,Randstad,RANDSTAD US LP,969,

